,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0,Chantaje (feat. Maluma),1,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Argentina,253019.0,0.852,0.773,8.0,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840.0,Pop
1,Despacito (Featuring Daddy Yankee),1,2017-04-07,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Dominican Republic,11681.0,0.66,0.786,2.0,-4.757,0.17,0.209,0.0,0.112,0.846,177.833,228200.0,Pop
2,Binibini,1,2021-04-16,Zack Tabudlo,https://open.spotify.com/track/2X5AFygz5SDYlXagyPw8kX,Philippines,401678.0,0.642,0.374,5.0,-10.606,0.032,0.423,1.54e-06,0.435,0.0979,129.863,221538.0,Pop
3,7 rings,1,2019-03-16,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Indonesia,125837.0,0.778,0.317,1.0,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,Rap
4,Shape of You,1,2017-03-08,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Portugal,55132.0,0.825,0.652,1.0,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,R&B
5,Someone You Loved,1,2019-03-16,Lewis Capaldi,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,Ireland,63074.0,0.501,0.405,1.0,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,Pop
6,X,1,2018-04-27,"Nicky Jam, J Balvin",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,Guatemala,16684.0,0.595,0.773,9.0,-4.736,0.0549,0.0364,0.00108,0.334,0.711,180.073,173628.0,Pop
7,INDUSTRY BABY (feat. Jack Harlow),1,2021-08-20,Lil Nas X,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,Portugal,48493.0,0.736,0.704,3.0,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000.0,Pop
8,Ella,1,2021-05-13,Boza,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp,Panama,22400.0,0.852,0.593,6.0,-5.892,0.0702,0.386,0.168,0.154,0.87,90.002,221407.0,Pop
9,Fiel,1,2021-04-16,"Los Legendarios, Wisin, Jhay Cortez",https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs,Peru,164077.0,0.849,0.701,6.0,-4.407,0.06,0.407,0.0,0.112,0.505,98.005,261667.0,Pop
10,no tears left to cry,1,2018-04-27,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,Hong Kong,16937.0,0.703,0.696,0.0,-5.482,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,205947.0,R&B
11,rockstar,1,2017-09-24,"Post Malone, 21 Savage",https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,Denmark,130103.0,0.58,0.531,5.0,-6.631,0.0776,0.128,0.000127,0.143,0.141,159.786,218320.0,Pop
12,Otro Trago,1,2019-05-27,"Sech, Darell",https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,El Salvador,20537.0,0.746,0.7,0.0,-4.669,0.341,0.136,0.000159,0.11,0.619,176.044,225933.0,Pop
13,ENZO FERRARI 2,1,2021-10-24,"Petre Stefan, YNY Sebi",https://open.spotify.com/track/2ZHK4gSu60cnRhPpIYDsJN,Romania,16238.0,0.787,0.832,1.0,-6.701,0.17,0.616,0.0,0.239,0.782,97.958,167438.0,Rap
14,FRIENDS,1,2018-04-12,"Marshmello, Anne-Marie",https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,Taiwan,21340.0,0.626,0.88,9.0,-2.384,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,Pop
15,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),1,2021-11-13,Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,Ecuador,47860.0,0.639,0.703,4.0,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0,Pop
16,Wolves,1,2017-11-29,"Selena Gomez, Marshmello",https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,Singapore,51362.0,0.715,0.802,11.0,-4.647,0.0394,0.139,0.0,0.177,0.327,124.989,197993.0,Pop
17,Melek,1,2021-01-02,Reynmen,https://open.spotify.com/track/6XbuJHhqugUVdJbTdshUEL,Turkey,180195.0,0.569,0.642,11.0,-5.16,0.055,0.152,0.0,0.236,0.285,180.076,154923.0,Pop
18,OK,1,2017-06-22,"Robin Schulz, James Blunt",https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS,Austria,23513.0,0.653,0.81,7.0,-6.032,0.0558,0.118,0.0,0.126,0.583,121.951,189307.0,Pop
19,STAY (with Justin Bieber),1,2021-09-14,The Kid LAROI,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,South Africa,22616.0,0.591,0.764,1.0,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,Rock
20,Patoreakcja,1,2021-04-16,Mata,https://open.spotify.com/track/5RYqeL42n0Ta7OvSuc36ZJ,Poland,261968.0,0.74,0.711,10.0,-6.378,0.271,0.16,0.0,0.447,0.318,140.926,327367.0,Rap
21,bad guy,1,2019-05-27,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,Estonia,5662.0,0.701,0.425,7.0,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,Pop
22,Mood (feat. iann dior),1,2020-09-20,24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Sweden,177969.0,0.7,0.722,7.0,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989,140526.0,Pop
23,Neymar,1,2018-04-27,"Capital Bra, Ufo361",https://open.spotify.com/track/0d0d2CuQSQDF7Q7vNhwA3i,Germany,605735.0,0.749,0.66,7.0,-6.143,0.241,0.558,0.0,0.133,0.542,123.96,263647.0,Rap
24,17 Miljoen Mensen - Live @538 in Ahoy,1,2020-04-15,"Davina Michelle, Snelle",https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz,Netherlands,264432.0,0.493,0.321,7.0,-10.041,0.0402,0.715,0.0,0.0863,0.508,86.77,107200.0,Pop
25,Nice For What,1,2018-04-12,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,United States,3038676.0,0.567,0.913,8.0,-6.471,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926.0,Rap
26,Mafiosa (feat. Caroliina),1,2018-04-27,Lartiste,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6,France,234947.0,0.867,0.724,6.0,-4.266,0.0978,0.258,0.0,0.0527,0.757,128.97,193700.0,Pop
27,Toosie Slide,1,2020-04-15,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,Morocco,7099.0,0.834,0.454,1.0,-9.75,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059.0,Rap
28,Criminal,1,2017-10-23,"Natti Natasha, Ozuna",https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te,Uruguay,15808.0,0.816,0.806,2.0,-3.023,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,232550.0,Pop
29,"Lemonade (feat. Gunna, Don Toliver & NAV)",1,2020-10-17,Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,United Arab Emirates,7312.0,0.8,0.658,1.0,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,195429.0,Rap
30,I Don't Care (with Justin Bieber),1,2019-06-14,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,Singapore,49701.0,0.798,0.675,6.0,-5.041,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,Pop
31,Svag,1,2020-04-15,Victor Leksell,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9,Norway,105131.0,0.628,0.525,8.0,-8.941,0.0672,0.749,0.0,0.113,0.446,76.972,191104.0,Pop
32,Heyecanı Yok,1,2018-04-12,Gazapizm,https://open.spotify.com/track/4sa0pXDdQkBZ1r5NZWQJyV,Turkey,72203.0,0.632,0.843,8.0,-5.716,0.1,0.397,0.0,0.132,0.339,129.971,249266.0,Rap
33,Den fineste Chevy'n (feat. Maria Mena),1,2021-05-13,Halva Priset,https://open.spotify.com/track/2Y7npn076wSZJgH8HVr2B2,Norway,102713.0,0.619,0.538,6.0,-9.63,0.0546,0.141,0.0,0.265,0.363,90.911,185373.0,Pop
34,Safaera,1,2020-04-15,"Bad Bunny, Jowell & Randy, Ñengo Flow",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,Nicaragua,6890.0,0.607,0.829,2.0,-4.074,0.379,0.0103,0.0,0.107,0.685,96.172,295177.0,Pop
35,Baby (with J Balvin),1,2020-12-12,Sfera Ebbasta,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X,Italy,322404.0,0.755,0.882,10.0,-1.957,0.0532,0.125,0.00142,0.103,0.606,99.984,193555.0,Pop
36,Psycho (feat. Ty Dolla $ign),1,2018-04-27,Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,Global,6418506.0,0.75,0.56,8.0,-8.094,0.105,0.546,0.0,0.111,0.459,140.06,221440.0,R&B
37,Mon Amour - Remix,1,2021-09-14,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,Spain,556267.0,0.748,0.761,2.0,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,179940.0,Pop
38,Ransom,1,2019-09-03,Lil Tecca,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,Iceland,6175.0,0.745,0.642,7.0,-6.257,0.287,0.0204,0.0,0.0658,0.226,179.974,131240.0,Rap
39,Popkorni,1,2017-12-30,JVG,https://open.spotify.com/track/7mGdJWJETc696zijUeZ2FD,Finland,90668.0,0.75,0.737,0.0,-4.89,0.0723,0.00595,0.000114,0.113,0.354,97.921,211789.0,Pop
40,Despacito - Remix,1,2017-06-22,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,Belgium,35263.0,0.694,0.815,2.0,-4.328,0.12,0.229,0.0,0.0924,0.813,88.931,228827.0,Pop
41,Allah’ından Bul,1,2020-10-17,Ezhel,https://open.spotify.com/track/350aUOZhGtTOK1dQbQFKNc,Turkey,429429.0,0.893,0.49,5.0,-6.563,0.0589,0.197,0.000387,0.102,0.517,108.032,181074.0,Rap
42,Perfect,1,2017-11-29,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Philippines,208283.0,0.599,0.448,8.0,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,Pop
43,drivers license,1,2021-01-14,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,Iceland,13644.0,0.585,0.436,10.0,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014.0,Pop
44,VOCE,1,2021-03-20,Madame,https://open.spotify.com/track/4ylL1oPx1rY1yFivslLFOR,Italy,584627.0,0.615,0.834,8.0,-5.471,0.0667,0.105,0.0,0.157,0.341,112.602,211411.0,R&B
45,Peaches (feat. Daniel Caesar & Giveon),1,2021-04-16,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Singapore,55555.0,0.677,0.696,0.0,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,198082.0,R&B
46,Soy Peor,1,2017-01-10,Bad Bunny,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,Dominican Republic,9218.0,0.732,0.605,0.0,-3.15,0.086,0.679,0.0029,0.114,0.143,115.942,257328.0,R&B
47,Astronaut In The Ocean,1,2021-04-16,Masked Wolf,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,Saudi Arabia,12873.0,0.778,0.695,4.0,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0,Rap
48,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),1,2018-01-23,"Anitta, Mc Zaac, Maejor",https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7,Brazil,625657.0,0.876,0.55,2.0,-5.464,0.152,0.0227,4.52e-05,0.294,0.557,129.924,201532.0,Pop
49,MONTERO (Call Me By Your Name),1,2021-04-16,Lil Nas X,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,Russia,88553.0,0.61,0.508,8.0,-6.682,0.152,0.297,0.0,0.384,0.758,178.818,137876.0,Rap
50,ROCKSTAR (feat. Roddy Ricch),1,2020-06-18,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,Switzerland,51297.0,0.746,0.69,11.0,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,Pop
51,Old Town Road (feat. Billy Ray Cyrus) - Remix,1,2019-06-14,Lil Nas X,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,Romania,8914.0,0.878,0.619,6.0,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,Rap
52,Favorito,1,2020-04-15,Camilo,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5,Peru,145868.0,0.611,0.851,9.0,-2.982,0.0598,0.229,0.0,0.232,0.823,178.032,211613.0,Pop
53,How You Like That,1,2020-08-01,BLACKPINK,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,Hong Kong,13977.0,0.828,0.782,11.0,-4.014,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264.0,Pop
54,Mojito,1,2020-06-18,Jay Chou,https://open.spotify.com/track/7BYMjh3vWnHU4IFyfZdIDO,Taiwan,44165.0,0.814,0.595,0.0,-7.726,0.0277,0.476,0.0,0.278,0.8,115.004,185008.0,Rap
55,Antaudun,1,2017-04-07,Reino Nordin,https://open.spotify.com/track/4waYSI6TTW0guhTJc4gWzq,Finland,81065.0,0.534,0.715,1.0,-4.556,0.279,0.617,0.0,0.132,0.661,172.083,196923.0,Pop
56,Kiss Me More (feat. SZA),1,2021-05-13,Doja Cat,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,New Zealand,55802.0,0.762,0.701,8.0,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,208867.0,Rap
57,La Jeepeta - Remix,1,2020-06-18,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,Spain,447900.0,0.815,0.715,4.0,-4.65,0.207,0.3,4.83e-06,0.091,0.786,176.007,345241.0,Pop
58,STOR MAND,1,2021-11-13,"Tobias Rahim, andreas odbjerg",https://open.spotify.com/track/56Ua2ypj5HWnotoIF3lEHc,Denmark,119784.0,0.66,0.666,5.0,-6.15,0.0507,0.178,0.0,0.275,0.503,145.916,183883.0,Pop
59,Last Christmas,1,2019-12-24,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Czech Republic,56333.0,0.735,0.478,2.0,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960.0,Pop
60,Tusa,1,2019-12-24,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Costa Rica,54534.0,0.803,0.715,2.0,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,Pop
61,Sucker,1,2019-03-16,Jonas Brothers,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,Hungary,10351.0,0.842,0.734,1.0,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,181040.0,Pop
62,Waalian,1,2021-01-14,Harnoor,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh,India,193823.0,0.705,0.412,1.0,-9.203,0.175,0.416,0.0,0.105,0.307,84.904,222313.0,Pop
63,Deu Onda,1,2017-01-06,MC G15,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,Brazil,594523.0,0.931,0.604,0.0,-1.41,0.0573,0.456,0.0,0.0488,0.864,129.926,144039.0,Pop
64,Rojo,1,2020-04-15,J Balvin,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,Paraguay,30851.0,0.663,0.598,11.0,-4.042,0.17,0.193,8.02e-05,0.0856,0.4,172.245,150720.0,Pop
65,Hon dansar vidare i livet,1,2018-04-12,Hov1,https://open.spotify.com/track/0DsMfCqOclDOvEeExl6zNY,Sweden,285188.0,0.655,0.651,8.0,-7.063,0.122,0.0267,0.0,0.133,0.782,90.054,248893.0,Rap
66,Roses - Imanbek Remix,1,2020-06-18,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,Slovakia,8879.0,0.77,0.724,8.0,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,R&B
67,Wieder Lila,1,2019-05-27,"Samra, Capital Bra",https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,Germany,830793.0,0.656,0.756,2.0,-4.026,0.3,0.435,0.0,0.0934,0.645,168.031,188057.0,Rap
68,Lovesick Girls,1,2020-10-17,BLACKPINK,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,Vietnam,29640.0,0.654,0.707,6.0,-5.661,0.0664,0.00559,0.0,0.0873,0.448,127.97,194765.0,R&B
69,God's Plan,1,2018-04-13,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,Belgium,35773.0,0.758,0.448,7.0,-9.441,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960.0,Pop
70,Royal Rumble,1,2019-06-14,"Kalazh44, Capital Bra, Samra, Nimo, Luciano",https://open.spotify.com/track/4Rif4wqdvzy84dhP1apC4Y,Switzerland,63362.0,0.591,0.888,1.0,-3.161,0.274,0.105,2.63e-05,0.0928,0.574,126.881,245000.0,Rap
71,Pepas,1,2021-08-20,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,Peru,159934.0,0.762,0.766,7.0,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,Pop
72,Rolls,1,2020-08-26,"Yzomandias, Nik Tendo",https://open.spotify.com/track/7MjNsu3feSV5MnhZzBHXoh,Slovakia,10481.0,0.719,0.702,2.0,-8.463,0.112,0.232,0.0,0.119,0.512,142.094,206197.0,Rap
73,Felices los 4,1,2017-06-22,Maluma,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,Bolivia,9003.0,0.755,0.789,5.0,-4.502,0.146,0.231,0.0,0.351,0.737,93.973,229849.0,Pop
74,Rampampam,1,2021-05-13,Minelli,https://open.spotify.com/track/0e3CM2Fm4cpDtxjzYkdLAr,Lithuania,10088.0,0.797,0.649,3.0,-5.506,0.182,0.24,0.0012,0.153,0.437,117.971,200212.0,Pop
75,"Duniyaa (From ""Luka Chuppi"")",1,2019-05-27,"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,India,39457.0,0.435,0.658,7.0,-5.949,0.0368,0.699,0.0,0.125,0.524,77.17,222501.0,Pop
76,Paradinha,1,2017-06-22,Anitta,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs,Brazil,427252.0,0.695,0.775,11.0,-5.041,0.0887,0.0117,0.191,0.0702,0.869,180.054,141317.0,Pop
77,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,2018-11-30,DJ Snake,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,Israel,8288.0,0.842,0.801,8.0,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,Rap
78,LIPSI HA,1,2021-09-27,INSTASAMKA,https://open.spotify.com/track/1D4ptfeNRLRWu52uzIXW5d,Ukraine,21892.0,0.758,0.534,9.0,-7.314,0.21,0.0863,0.0,0.139,0.783,180.035,121424.0,Rap
79,Pagsamo,1,2021-10-24,Arthur Nery,https://open.spotify.com/track/34YfLWuoxLEcvJQNxdI9P2,Philippines,483773.0,0.644,0.315,6.0,-9.382,0.0339,0.706,0.00162,0.0962,0.356,60.001,297002.0,Pop
80,Happy Birthday,1,2018-11-30,Sfera Ebbasta,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2,Italy,928260.0,0.792,0.777,8.0,-4.402,0.0454,0.0455,5.34e-05,0.293,0.696,137.05,170707.0,Rap
81,Dura,1,2018-02-18,Daddy Yankee,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc,Colombia,71913.0,0.786,0.846,1.0,-3.468,0.0505,0.174,0.0,0.413,0.819,95.005,200480.0,Pop
82,Nadi Canadi,1,2021-04-16,Tagne,https://open.spotify.com/track/14WP9aPMpre8L1u0RcRO5Q,Morocco,16252.0,0.617,0.557,5.0,-9.162,0.199,0.772,0.0,0.0775,0.654,174.09,221379.0,Rap
83,TIC TOC,1,2018-11-30,"6ix9ine, Lil Baby",https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk,Latvia,3157.0,0.82,0.691,6.0,-6.646,0.0723,0.0115,0.0,0.344,0.683,142.027,135739.0,Rap
84,Keify Keda,1,2021-11-13,"Wegz, Disco Misr",https://open.spotify.com/track/3yWSjxKQMpa7hXcmVElZgX,Egypt,24408.0,0.931,0.578,11.0,-11.087,0.254,0.24,0.000314,0.35,0.897,127.971,193622.0,Rap
85,Soldi,1,2019-05-27,Mahmood,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,Israel,21033.0,0.729,0.589,3.0,-9.871,0.0483,0.0361,0.0,0.305,0.349,95.065,195133.0,R&B
86,The Box,1,2020-01-24,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,Latvia,7702.0,0.896,0.586,10.0,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,Pop
87,Holder Fast,1,2018-04-27,"Hennedub, Gilli, Lukas Graham",https://open.spotify.com/track/0yJshzyh9qjjtiyLBbPglQ,Denmark,141480.0,0.665,0.731,9.0,-4.007,0.0636,0.216,0.0,0.0813,0.512,101.961,192970.0,Rap
88,Pretender,1,2020-01-24,Official HIGE DANdism,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z,Japan,181871.0,0.538,0.869,8.0,-3.464,0.0275,0.047,0.0,0.14,0.369,91.972,326843.0,Pop
89,Eiskalt,1,2019-08-05,"Loredana, Mozzik",https://open.spotify.com/track/52UVKsw31NTOCTNPTpwbFJ,Germany,627271.0,0.798,0.608,7.0,-6.001,0.14,0.0274,6.52e-05,0.106,0.677,180.014,151558.0,Rap
90,Stars,1,2019-05-27,"TOQUEL, Light",https://open.spotify.com/track/1NVRmobldmS8R336sRx6KR,Greece,14967.0,0.725,0.701,4.0,-7.718,0.108,0.068,0.0,0.128,0.118,94.031,167167.0,Rap
91,Szafir,1,2021-10-24,"Mata, Trooh Hippi",https://open.spotify.com/track/5sGv8YdAa3XjggnbpF9NC9,Poland,360368.0,0.772,0.607,1.0,-8.016,0.105,0.375,5.61e-05,0.164,0.814,139.963,196600.0,Rap
92,Szklanki,1,2021-02-21,Young Leosia,https://open.spotify.com/track/7umEhzfURpGTSRbcX84qLy,Poland,110138.0,0.953,0.595,0.0,-8.01,0.131,0.235,0.0,0.0679,0.675,124.965,163200.0,Rap
93,Heartbreak Anniversary,1,2021-02-21,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,Philippines,341799.0,0.449,0.465,0.0,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371.0,R&B
94,Dance Monkey,1,2019-09-03,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Ireland,91285.0,0.826,0.593,6.0,-6.401,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,Pop
95,Sommergewitter,1,2021-07-19,Pashanim,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ,Germany,684919.0,0.787,0.531,11.0,-10.569,0.101,0.132,0.00094,0.112,0.721,91.996,138533.0,Rap
96,cardigan,1,2020-07-26,Taylor Swift,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,Hong Kong,18211.0,0.613,0.581,0.0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,Pop
97,Petrouchka (feat. PLK),1,2021-07-19,Soso Maness,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E,France,406013.0,0.624,0.802,6.0,-4.818,0.311,0.0597,0.0,0.252,0.818,133.888,189933.0,Rap
98,Mademoiselle,1,2019-03-16,Sfera Ebbasta,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c,Italy,618404.0,0.794,0.702,6.0,-5.656,0.0346,0.0671,0.0,0.155,0.535,121.938,189344.0,Rap
99,Better Now,1,2018-04-27,Post Malone,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,Estonia,5272.0,0.68,0.578,10.0,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,231267.0,Rap
100,Yo Perreo Sola,1,2020-07-01,Bad Bunny,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,Nicaragua,3685.0,0.86,0.758,11.0,-5.16,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127.0,Pop
101,Maafkan Aku #terlanjurmencinta,1,2020-08-13,Tiara Andini,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o,Indonesia,219225.0,0.485,0.423,2.0,-8.385,0.0373,0.73,0.0,0.246,0.132,137.353,224000.0,Pop
102,Callaita,1,2019-06-14,"Bad Bunny, Tainy",https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,Spain,575971.0,0.61,0.624,2.0,-4.773,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,Pop
103,BUBBLETEA,1,2020-06-18,"Quebonafide, Duit, Daria Zawiałow",https://open.spotify.com/track/7eBYMVok43QesT0KnuIkjn,Poland,98744.0,0.664,0.739,9.0,-7.207,0.207,0.541,0.0,0.139,0.438,98.091,284000.0,Pop
104,Dynamite,1,2020-08-26,BTS,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE,Singapore,76203.0,0.746,0.765,6.0,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,Pop
105,Marikit,1,2020-06-18,"Juan Caoile, Kyleswish",https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar,Philippines,313470.0,0.806,0.593,11.0,-7.672,0.0745,0.574,0.0,0.0981,0.784,143.01,263348.0,Rap
106,Bassi Maraj,1,2021-03-20,Bassi Maraj,https://open.spotify.com/track/6lKpd6GlJzsPkXq73GnUW6,Iceland,14500.0,0.849,0.617,7.0,-8.431,0.251,0.00201,0.000104,0.0739,0.687,80.002,141718.0,Rap
107,To the Bone,1,2021-03-20,Pamungkas,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF,Indonesia,699813.0,0.668,0.727,7.0,-6.55,0.027,0.514,1.9e-05,0.1,0.939,139.991,344571.0,Pop
108,Mi Gente,1,2017-08-13,"J Balvin, Willy William",https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,Mexico,494879.0,0.543,0.677,11.0,-4.915,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440.0,Pop
