,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
6392,Sheguey 12,9,2018-02-26,Gradur,https://open.spotify.com/track/1ikr1xdMpXnbQW0hu9fGl5,France,104266.0,0.546,0.483,0.0,-15.5,0.493,0.263,0.0,0.113,0.716,87.098,138583.0,Rap
6393,My sea,9,2021-03-26,IU,https://open.spotify.com/track/46wDG6evLn2iPoQ0F8CUWk,South Korea,13243.0,0.353,0.419,4.0,-6.26,0.0341,0.365,0.0,0.35,0.122,134.334,316507.0,Pop
6394,Kara Toprak,9,2017-02-03,Norm Ender,https://open.spotify.com/track/5dfXFWV7szCflBzpkhW2wT,Turkey,43591.0,0.558,0.801,2.0,-6.786,0.212,0.46,0.0,0.502,0.55,173.819,223058.0,Rap
6395,Badewanne,9,2019-06-07,"KC Rebell, Gringo",https://open.spotify.com/track/4qUjPb9J51kZ0PrGZWtpVc,Germany,471606.0,0.808,0.628,1.0,-5.4,0.0948,0.106,0.00435,0.0981,0.277,81.999,169424.0,Rap
6396,Backstage,9,2020-11-27,"PRO8L3M, Andrzej Zaucha",https://open.spotify.com/track/5e10CoPPUoyfxtVD6YExbH,Poland,69168.0,0.736,0.683,10.0,-6.884,0.329,0.28,0.0,0.0993,0.626,157.944,152690.0,Pop
6397,ANTES QUE SE ACABE,9,2020-11-28,Bad Bunny,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN,El Salvador,18887.0,0.693,0.549,2.0,-6.098,0.0577,0.505,4.73e-05,0.324,0.473,139.988,221187.0,Pop
6398,Laikinai,9,2021-02-01,Evgenya Redko,https://open.spotify.com/track/23dMF1C1MeXg3CJuDQkHOU,Lithuania,2992.0,0.739,0.421,6.0,-10.549,0.043,0.471,8.48e-05,0.0965,0.211,115.013,210783.0,Pop
6399,Kolasi,9,2019-05-30,TOQUEL,https://open.spotify.com/track/13yoLiwo2aUB3Mluf8uVQ0,Greece,9821.0,0.784,0.675,6.0,-8.191,0.113,0.437,0.0,0.143,0.275,118.023,178982.0,Rap
6400,Kim Jong Un,9,2017-03-31,Lacrim,https://open.spotify.com/track/7EnD0lx98FL3jCDVqjyaBw,France,127781.0,0.691,0.753,3.0,-6.59,0.0856,0.124,0.0,0.119,0.665,129.952,198400.0,Rap
6401,Yak,9,2020-07-31,"Tepki, Ceza",https://open.spotify.com/track/1kfuFMDlKrXbg7jknYh2OV,Turkey,92097.0,0.715,0.702,8.0,-6.398,0.27,0.146,0.0,0.266,0.239,159.955,204000.0,Rap
