index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
231,1-2,1,2020-07-26,nublu,https://open.spotify.com/track/6UCxQMQiC4xu7PnYMxgvWJ,Estonia,5840.0,0.865,0.632,7.0,-5.467,1.0,0.184,0.0552,0.0111,0.0863,0.49,98.001,183673.0
232,Hayaan Mo Sila,1,2018-01-27,"Ex Battalion, O.C. Dawgs",https://open.spotify.com/track/7MrDfa1uQGVXx0JMZ2u5tN,Philippines,268640.0,0.708,0.704,5.0,-4.747,1.0,0.0624,0.71,0.0,0.066,0.71,80.018,367229.0
233,Rugpjūtis,1,2021-08-11,"Justinas Jarutis, Jessica Shy",https://open.spotify.com/track/2psbE7Ds01Xz2MaMIk7APk,Lithuania,10854.0,0.792,0.942,1.0,-5.03,1.0,0.0404,0.0415,0.000178,0.0983,0.862,140.024,162080.0
234,Roller,1,2019-09-03,Apache 207,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo,Germany,786935.0,0.928,0.758,10.0,-6.471,0.0,0.143,0.0303,0.00446,0.29,0.729,128.015,158853.0
235,501,1,2021-03-20,"Bilal Wahib, Ronnie Flex",https://open.spotify.com/track/0Fl4PBfIwC5G1IQAF1luUm,Netherlands,380758.0,0.613,0.796,8.0,-3.672,1.0,0.203,0.162,0.0,0.292,0.749,186.102,127592.0
236,hot coffee,1,2019-06-14,schafter,https://open.spotify.com/track/4U4LEUWV8sFtos5PdjfDA7,Poland,114254.0,0.739,0.578,0.0,-8.561,0.0,0.23,0.813,0.0,0.11,0.5,143.953,174560.0
237,一人之境 in C major,1,2021-01-14,Terence Lam,https://open.spotify.com/track/32QnXosZq7A11knnBAEqk7,Hong Kong,21975.0,0.711,0.315,0.0,-11.211,1.0,0.034,0.742,0.0,0.121,0.232,122.052,195424.0
238,Ma belle,1,2019-09-03,Moha La Squale,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D,France,262458.0,0.739,0.656,0.0,-5.516,1.0,0.0578,0.764,3.8e-06,0.0896,0.47,82.011,158276.0
239,Leave The Door Open,1,2021-03-20,"Bruno Mars, Anderson .Paak, Silk Sonic",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,New Zealand,38595.0,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0
240,Shayad,1,2020-05-18,"Pritam, Arijit Singh",https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,India,114820.0,0.483,0.468,8.0,-7.642,1.0,0.0341,0.784,0.0,0.152,0.319,135.875,247941.0
241,Benzema,1,2018-12-22,Capital Bra,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,Switzerland,69292.0,0.783,0.692,10.0,-6.156,0.0,0.329,0.485,0.0,0.12,0.26,100.082,159152.0
242,Échame La Culpa,1,2017-12-14,"Luis Fonsi, Demi Lovato",https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,Ecuador,25305.0,0.724,0.895,7.0,-3.617,1.0,0.0411,0.0322,0.0,0.097,0.64,96.022,173720.0
243,Gamora,1,2021-04-16,"Hov1, Einár",https://open.spotify.com/track/4tGPi30jgutml0z5QgNd8Q,Sweden,230772.0,0.628,0.729,10.0,-5.313,0.0,0.129,0.094,0.0,0.0695,0.878,174.792,165516.0
244,loodus ja hobused,1,2020-10-03,"5MIINUST, Hendrik Sal-Saller",https://open.spotify.com/track/0rWtmMYqgd9pqRvqKf5bYw,Estonia,5054.0,0.726,0.763,9.0,-4.59,1.0,0.0577,0.0978,0.0,0.37,0.775,130.067,252995.0
245,ALOHA!,1,2021-03-20,ElGrandeToto,https://open.spotify.com/track/22YGEzwGJwqoFKJ0URX1cl,Morocco,29008.0,0.658,0.676,11.0,-7.735,1.0,0.282,0.282,0.000106,0.0457,0.711,95.835,195973.0
246,Siyah,1,2020-06-18,"Patron, Sagopa Kajmer",https://open.spotify.com/track/7JsCNbqn3zbL7mrsSlY3L2,Turkey,200785.0,0.701,0.575,8.0,-9.062,0.0,0.206,0.314,1.22e-05,0.13,0.471,139.9,225036.0
247,แฟนใหม่หน้าคุ้น,1,2020-10-17,"Maiyarap, MILLI",https://open.spotify.com/track/29E8BUUDQbc5S7jMPOj9wW,Thailand,66788.0,0.797,0.553,11.0,-9.231,1.0,0.309,0.479,0.0,0.0752,0.944,89.961,173340.0
248,ฝันถึงแฟนเก่า,1,2020-06-18,Three Man Down,https://open.spotify.com/track/1PnEuhdX2pFIQUAESQB4wm,Thailand,73945.0,0.496,0.603,7.0,-7.362,1.0,0.0358,0.14,3.23e-06,0.2,0.551,152.022,241531.0
249,Save Your Tears,1,2021-03-20,The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,Lithuania,6039.0,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0
250,Vai Amor,1,2019-05-27,Gilli,https://open.spotify.com/track/2ilvTstOiWDmsGf75lz6Ka,Denmark,197439.0,0.89,0.662,0.0,-5.462,1.0,0.199,0.0418,0.0258,0.0594,0.837,129.988,166353.0
251,SUPERSTAR,1,2020-07-26,"MG, SNIK",https://open.spotify.com/track/28dgIVVQiTOZlYs3JForb7,Greece,29731.0,0.712,0.695,11.0,-4.356,0.0,0.226,0.442,0.0,0.143,0.705,196.033,154348.0
252,Si Veo a Tu Mamá,1,2020-03-17,Bad Bunny,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,Paraguay,47259.0,0.9,0.603,2.0,-5.313,1.0,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972.0
253,怪美的,1,2018-12-22,Jolin Tsai,https://open.spotify.com/track/1BTs7YZR12S4vwVHw8n1hC,Taiwan,28830.0,0.766,0.625,11.0,-7.43,0.0,0.179,0.0279,2.05e-06,0.122,0.58,97.983,182344.0
254,telepatía,1,2021-03-20,Kali Uchis,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,Mexico,775356.0,0.653,0.524,11.0,-9.016,0.0,0.0502,0.112,0.0,0.203,0.553,83.97,160191.0
255,Something Just Like This,1,2017-03-08,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Taiwan,44238.0,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0
256,Až na měsíc,1,2019-05-27,"Viktor Sheen, Nik Tendo, Calin, Hasan",https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l,Czech Republic,31464.0,0.745,0.57,3.0,-10.411,0.0,0.0636,0.267,0.0,0.121,0.539,115.086,208696.0
257,All I Need,1,2017-02-22,"Joakim Lundell, Arrhult",https://open.spotify.com/track/6vBgJ1SLmpB4VMcEVy1ovL,Sweden,361024.0,0.698,0.833,1.0,-4.868,1.0,0.347,0.491,0.0,0.106,0.473,94.99,184000.0
258,Malvadão 3,1,2021-12-30,"Xamã, Gustah, Neo Beats",https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH,Brazil,1372345.0,0.821,0.609,6.0,-6.541,0.0,0.268,0.378,0.0,0.136,0.516,133.133,141770.0
259,LATHI (ꦭꦛꦶ),1,2020-05-18,"Weird Genius, Sara Fajira",https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY,Indonesia,273030.0,0.58,0.898,3.0,-1.928,0.0,0.0349,0.0857,0.000254,0.478,0.213,150.018,188900.0
260,Jolie nana,1,2020-07-26,Aya Nakamura,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm,France,486900.0,0.813,0.64,2.0,-5.908,1.0,0.272,0.269,0.0,0.131,0.488,92.989,147076.0
261,Unterwegs,1,2020-07-26,Apache 207,https://open.spotify.com/track/7eAJEMhjeQLLp4HSdJJ58b,Germany,639466.0,0.706,0.772,3.0,-6.765,0.0,0.189,0.376,8.76e-06,0.0884,0.304,99.186,172227.0
262,"Tiago PZK: Bzrp Music Sessions, Vol. 48",1,2021-12-30,"Bizarrap, Tiago PZK",https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa,Argentina,549827.0,0.656,0.823,1.0,-3.059,0.0,0.315,0.47,0.0,0.103,0.755,96.474,160000.0
263,Martılar,1,2021-04-16,EDIS,https://open.spotify.com/track/5KfEZIfXixRmVadOEMfzum,Turkey,401552.0,0.84,0.611,11.0,-6.904,0.0,0.0718,0.0615,0.0,0.131,0.898,122.997,157439.0
264,Cristal & МОЁТ,1,2021-01-02,MORGENSHTERN,https://open.spotify.com/track/4KfmruShP5zOi9hYjM76e6,Ukraine,36750.0,0.725,0.373,5.0,-7.341,0.0,0.29,0.224,0.00964,0.173,0.499,209.91,137143.0
265,Vete,1,2019-12-24,Bad Bunny,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,Dominican Republic,22622.0,0.886,0.672,1.0,-4.394,1.0,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024.0
266,Adan y Eva,1,2018-12-22,Paulo Londra,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,Spain,447731.0,0.767,0.709,1.0,-4.47,1.0,0.336,0.323,0.0,0.0676,0.72,171.993,258639.0
267,Voodoo,1,2021-01-14,"Light, Hawk",https://open.spotify.com/track/6tGl1mj5CyoB1hUtOKyhkQ,Greece,50349.0,0.665,0.628,11.0,-6.832,0.0,0.271,0.0717,0.0,0.0469,0.275,84.656,190941.0
268,Big Body Benz,1,2020-06-19,Bonez MC,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj,Austria,76969.0,0.884,0.451,9.0,-8.969,1.0,0.393,0.0731,0.00573,0.268,0.311,94.024,148284.0
269,אפס מאמץ,1,2021-08-11,"Static & Ben El, Netta",https://open.spotify.com/track/2liUMhNvpAxRNVAGnz8jNJ,Israel,35612.0,0.847,0.584,9.0,-6.289,0.0,0.0458,0.113,0.0103,0.0673,0.596,140.011,200143.0
270,Such A Boy,1,2017-08-13,Astrid S,https://open.spotify.com/track/7jHzO2EPJzt1JgHQ80aRu0,Norway,103463.0,0.659,0.781,6.0,-5.143,0.0,0.122,0.0573,2.06e-06,0.0832,0.458,94.98,210680.0
271,jeg bruker ikke kondom,1,2018-01-12,"MARS, Arif, Karpe, Unge Ferrari",https://open.spotify.com/track/5sm7SSLMwSJ6bNKl5olGhh,Norway,211492.0,0.567,0.697,1.0,-8.952,0.0,0.436,0.358,0.0,0.0456,0.384,120.374,183253.0
272,Spigoli,1,2020-05-18,"Carl Brave, Mara Sattei, tha Supreme",https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi,Italy,323709.0,0.718,0.703,0.0,-5.886,0.0,0.0537,0.145,0.0,0.104,0.668,132.987,256788.0
273,Sunflower - Spider-Man: Into the Spider-Verse,1,2018-12-22,"Post Malone, Swae Lee",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,South Africa,5802.0,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0
274,Takk fyrir mig,1,2020-08-01,Ingó Veðurguð,https://open.spotify.com/track/57dAeJeBWPpXoyNNjKP1wO,Iceland,7853.0,0.545,0.634,10.0,-6.862,1.0,0.0337,0.0447,0.0,0.109,0.372,75.013,216619.0
275,Mood Swings (feat. Lil Tjay),1,2020-08-13,Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,Iceland,6900.0,0.48,0.602,10.0,-6.335,0.0,0.368,0.487,0.0,0.0848,0.269,179.798,213333.0
276,MI FAI IMPAZZIRE,1,2021-08-11,"BLANCO, Sfera Ebbasta",https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN,Italy,595233.0,0.477,0.844,11.0,-4.87,1.0,0.0458,0.00273,0.0,0.137,0.203,169.941,220235.0
277,für Oksana,1,2019-09-03,"nublu, gameboy tetris",https://open.spotify.com/track/3ZNv0P70XQX5FoQAUw3bLg,Estonia,9595.0,0.802,0.677,8.0,-4.7,1.0,0.216,0.277,0.000154,0.078,0.87,170.065,194824.0
278,Một Cú Lừa,1,2020-06-18,Bich Phuong,https://open.spotify.com/track/2LKI0fGEKR3RWAiY2jqq8k,Vietnam,30273.0,0.737,0.707,2.0,-3.318,0.0,0.0386,0.277,0.305,0.0881,0.196,114.972,208696.0
279,Bar,1,2021-12-30,"TINI, L-Gante",https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC,Bolivia,20453.0,0.523,0.691,1.0,-3.802,1.0,0.0833,0.133,0.0,0.327,0.677,94.148,160213.0
280,Butter,1,2021-08-11,BTS,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,Japan,285017.0,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442.0
281,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,1,2021-04-16,EggPlantEgg,https://open.spotify.com/track/4fJlSLYLiu5trFCMZdSQDC,Taiwan,113903.0,0.665,0.654,9.0,-6.948,0.0,0.0725,0.00249,0.00119,0.109,0.736,149.969,232400.0
282,Glorious (feat. Skylar Grey),1,2017-08-13,Macklemore,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR,New Zealand,40294.0,0.731,0.794,0.0,-5.126,0.0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454.0
283,abcdefu,1,2021-12-30,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Austria,37079.0,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,168602.0
284,רסיסים,1,2020-12-12,Raviv Kaner,https://open.spotify.com/track/30sGgyaxYGfX8mChvwD0ul,Israel,19447.0,0.626,0.377,11.0,-7.987,0.0,0.0278,0.42,0.0,0.1,0.376,73.976,201190.0
285,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,1,2021-03-20,Nathan Evans,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN,Norway,111200.0,0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750.0
286,El Problema - prod. SLAVA MARLOW,1,2020-09-20,"MORGENSHTERN, Timati",https://open.spotify.com/track/4EAiPdDayHEaYo3YKgbV7q,Russia,124212.0,0.952,0.643,3.0,-4.532,0.0,0.05,0.0324,0.00352,0.183,0.37,106.994,137178.0
287,Corazón,1,2018-01-27,"Maluma, Nego do Borel",https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,Peru,96658.0,0.871,0.768,4.0,-5.401,0.0,0.122,0.283,2.25e-05,0.162,0.765,98.989,184067.0
288,Was du Liebe nennst,1,2017-12-30,Bausa,https://open.spotify.com/track/4hKWUzhQWsOkgT6LnDEASe,Germany,450329.0,0.874,0.487,2.0,-8.154,1.0,0.0641,0.393,2.96e-05,0.0524,0.746,144.956,203630.0
289,Kya Baat Aa,1,2020-08-13,"Karan Aujla, Tania",https://open.spotify.com/track/5XBUtdLhHkWMacY3I5kz8X,India,137058.0,0.706,0.526,2.0,-7.211,0.0,0.12,0.508,0.0,0.196,0.546,147.753,219324.0
290,Hors Série - RapRapRapRap,1,2020-02-19,"ElGrandeToto, Draganov, Don Bigg, Khtek",https://open.spotify.com/track/3qLbEQPE0mktP3s6JHn5oM,Morocco,5884.0,0.85,0.565,10.0,-9.091,0.0,0.391,0.562,1.14e-05,0.126,0.741,160.042,222000.0
291,WAP (feat. Megan Thee Stallion),1,2020-08-26,Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,South Africa,16542.0,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0
292,You Need To Calm Down,1,2019-06-14,Taylor Swift,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,United States,2459661.0,0.768,0.678,2.0,-5.604,1.0,0.0505,0.00838,0.0,0.0596,0.706,85.025,171387.0
293,Djomb - Bien ou quoi,1,2020-06-18,Bosh,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48,France,627943.0,0.945,0.676,1.0,-6.6,1.0,0.207,0.172,0.00036,0.322,0.631,123.109,141893.0
294,Abalele,1,2021-10-12,"Kabza De Small, DJ Maphorisa, Ami Faku",https://open.spotify.com/track/2qxgejJTaZIHNSHDD22Uhl,South Africa,23813.0,0.788,0.449,5.0,-16.197,0.0,0.0835,0.181,0.027,0.133,0.59,113.001,416322.0
295,ErruDumEllaHvad,1,2020-07-13,ICEKIID,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ,Denmark,88169.0,0.922,0.708,8.0,-5.618,0.0,0.262,0.281,0.000168,0.279,0.732,104.055,148942.0
296,Rozdělený světy,1,2020-10-18,Viktor Sheen,https://open.spotify.com/track/65sTVVVMDnczku5Gt2PTmt,Czech Republic,57632.0,0.712,0.66,9.0,-7.68,0.0,0.032,0.331,5.66e-05,0.0904,0.418,111.068,211892.0
297,Yonaguni,1,2021-08-20,Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,Nicaragua,10365.0,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951,206710.0
298,Kathikon,1,2021-05-13,"Rack, Oge",https://open.spotify.com/track/2L0sKpUHojPgtqAmv22f7F,Greece,71435.0,0.72,0.681,10.0,-8.962,0.0,0.223,0.198,0.0128,0.221,0.529,94.04,99255.0
299,Calma - Remix,1,2018-12-23,"Pedro Capó, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,El Salvador,11529.0,0.826,0.773,11.0,-4.218,0.0,0.0524,0.323,0.0,0.143,0.761,126.899,238200.0
300,Easy On Me,1,2021-10-24,Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,New Zealand,59948.0,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0
301,I'm the One,1,2017-05-21,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,New Zealand,55174.0,0.599,0.667,7.0,-4.267,1.0,0.0367,0.0533,0.0,0.134,0.817,80.984,288877.0
302,เจ็บจนพอ,1,2019-06-14,WANYAi,https://open.spotify.com/track/4prGMvYxnXPsG7xueL4Gc8,Thailand,27122.0,0.45,0.559,1.0,-6.425,1.0,0.0336,0.227,0.0,0.1,0.473,173.118,277500.0
303,Yok Yok,1,2019-06-14,Feride Hilal Akın,https://open.spotify.com/track/2CjjjGKJA1ybc5wjCyJYjm,Turkey,193027.0,0.698,0.422,0.0,-7.899,0.0,0.0598,0.66,0.0,0.142,0.142,75.803,184858.0
304,death bed (coffee for your head),1,2020-04-15,"Powfu, beabadoobee",https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,Indonesia,264985.0,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0
305,İmkansızım,1,2017-11-29,Ezhel,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe,Turkey,78522.0,0.83,0.515,6.0,-5.942,0.0,0.424,0.129,0.0,0.1,0.692,95.209,222329.0
306,Genda Phool (feat. Payal Dev),1,2020-04-15,Badshah,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf,India,164738.0,0.955,0.538,1.0,-8.394,1.0,0.0734,0.132,0.00146,0.0704,0.837,116.977,170769.0
307,Airwaves,1,2020-06-18,Pashanim,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD,Germany,610843.0,0.885,0.578,5.0,-7.416,0.0,0.0783,0.0739,0.0903,0.102,0.388,131.999,178933.0
308,Mi manchi,1,2021-04-16,Aka 7even,https://open.spotify.com/track/5Q47Vr7OH4XdXR6tqdwTE2,Italy,319675.0,0.666,0.786,8.0,-4.768,1.0,0.0373,0.226,0.0,0.12,0.355,126.944,164019.0
309,El Farsante,1,2017-09-24,Ozuna,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,Dominican Republic,10065.0,0.735,0.703,6.0,-4.249,1.0,0.0611,0.2,0.0,0.259,0.323,120.007,233827.0
310,Lmeryoula,1,2020-07-26,"Don Bigg, Ihab Amir",https://open.spotify.com/track/6aNxF6lbcwr8iA8EHOW3Xr,Morocco,18161.0,0.619,0.663,0.0,-8.895,0.0,0.154,0.417,0.0,0.151,0.677,156.046,244615.0
311,KIKI (feat. Gilli),1,2020-05-18,LOLO,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc,Denmark,99961.0,0.867,0.617,0.0,-4.193,0.0,0.365,0.349,0.0,0.0553,0.512,124.94,172869.0
312,ZITTI E BUONI,1,2021-06-09,Måneskin,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,Ukraine,28421.0,0.625,0.939,4.0,-3.115,0.0,0.0669,0.00138,0.0,0.424,0.644,102.999,194787.0
313,niiea,1,2020-06-18,"Villemdrillem, Elina Born",https://open.spotify.com/track/6MbfQspUZFBWtmxIVejejb,Estonia,8070.0,0.696,0.814,11.0,-5.771,0.0,0.0732,0.102,0.000417,0.172,0.602,136.01,173382.0
314,Savage,1,2021-10-12,aespa,https://open.spotify.com/track/3dbLT62Cvs46Ju7a8gpr36,South Korea,18951.0,0.727,0.879,9.0,-1.167,1.0,0.129,0.124,1.17e-05,0.244,0.671,146.959,238144.0
315,Dejlig,1,2020-10-18,"Jimilian, Fouli",https://open.spotify.com/track/7L1iGQd5UL3uXeZsjqj6rm,Denmark,62564.0,0.845,0.572,7.0,-7.692,0.0,0.14,0.124,0.0,0.0918,0.61,105.03,159429.0
316,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],1,2019-06-14,"BTS, Zara Larsson",https://open.spotify.com/track/5XkyZyKMdFungjDb9cUKc3,Vietnam,34957.0,0.804,0.498,8.0,-7.387,0.0,0.0571,0.339,0.000236,0.18,0.704,105.008,205020.0
317,Bússola,1,2019-09-03,Nenny,https://open.spotify.com/track/6oSSyP3wbI9F0Y4mKmYfYh,Portugal,36610.0,0.802,0.565,5.0,-7.492,0.0,0.324,0.735,0.0,0.184,0.82,94.952,272578.0
318,Mios mit Bars,1,2020-02-19,Luciano,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE,Germany,742126.0,0.677,0.633,9.0,-7.353,0.0,0.0467,0.111,0.179,0.217,0.404,145.012,232147.0
319,Gece Gölgenin Rahatına Bak,1,2017-01-20,Çağatay Akman,https://open.spotify.com/track/3P31rcl0ym5paqRdwSiZps,Turkey,64829.0,0.769,0.837,6.0,-4.057,0.0,0.14,0.652,0.0,0.0986,0.819,100.962,163960.0
320,Ghaba,1,2021-03-20,Marwan Pablo,https://open.spotify.com/track/45GbniNGdKE7vSgggfcBWl,Egypt,22792.0,0.744,0.473,5.0,-14.143,0.0,0.0533,0.00112,0.00136,0.0872,0.375,128.045,184932.0
321,Cadillac,1,2020-07-26,"MORGENSHTERN, Eldzhey",https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv,Latvia,3817.0,0.957,0.743,2.0,-3.931,1.0,0.0611,0.0117,0.257,0.0994,0.673,105.022,177609.0
322,Mannschaft (feat. Freeze Corleone),1,2021-03-20,SCH,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc,France,581423.0,0.833,0.574,0.0,-8.74,0.0,0.321,0.195,0.0,0.142,0.514,130.003,227147.0
323,Hustla,1,2020-12-03,Wegz,https://open.spotify.com/track/26x46Jk6rpcfkT8xttvUCc,Egypt,13433.0,0.789,0.734,8.0,-4.919,1.0,0.202,0.0684,0.0,0.111,0.528,155.039,188255.0
324,Me Rehúso,1,2017-06-22,Danny Ocean,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,Colombia,51331.0,0.744,0.804,1.0,-6.327,1.0,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715.0
325,Rólegur Kúreki,1,2021-02-21,BRÍET,https://open.spotify.com/track/5qI0p2E7BxBxYRJknYr6Gg,Iceland,4946.0,0.43,0.312,3.0,-9.888,1.0,0.0284,0.498,0.0,0.14,0.174,82.517,228352.0
326,E先生 連環不幸事件,1,2021-05-13,Edan 呂爵安,https://open.spotify.com/track/06sDxr7MbbwFyTP1f6rvvl,Hong Kong,29963.0,0.497,0.454,10.0,-9.386,1.0,0.0303,0.543,0.0,0.0966,0.323,164.012,268536.0
327,دورك جي,1,2020-05-18,Wegz,https://open.spotify.com/track/56nsR8Td7CWVCQIGjznu4L,Egypt,7285.0,0.847,0.729,2.0,-5.533,1.0,0.212,0.333,0.0,0.0693,0.315,104.969,257942.0
328,Reckless,1,2021-07-08,Madison Beer,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh,Malaysia,71577.0,0.386,0.426,3.0,-6.642,1.0,0.0363,0.807,0.0,0.14,0.261,180.104,203385.0
329,Ora che ti guardo bene,1,2020-04-15,Gazzelle,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT,Italy,317476.0,0.672,0.464,0.0,-5.757,1.0,0.0407,0.217,0.000129,0.103,0.289,79.996,172836.0
330,Zebbiana,1,2019-09-03,Skusta Clee,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,Philippines,264582.0,0.677,0.433,8.0,-8.518,1.0,0.037,0.545,0.0,0.105,0.498,134.006,304664.0
331,FLÝG UPP,1,2021-05-13,Aron Can,https://open.spotify.com/track/2GiTm3JELDl8D7MNlMRI9X,Iceland,6807.0,0.656,0.805,5.0,-7.323,1.0,0.126,0.0944,0.000877,0.0707,0.435,163.918,252893.0
332,Ona by tak chciała,1,2019-09-03,Ronnie Ferrari,https://open.spotify.com/track/0uY8OwFf9qPQb5waIuOxoB,Poland,145251.0,0.783,0.885,6.0,-6.402,0.0,0.326,0.04,1.93e-06,0.123,0.84,169.96,168616.0
333,呼吸有害,1,2020-06-18,Karen Mok,https://open.spotify.com/track/4t53NE3uBLkTwW9rUgiHC8,Hong Kong,20822.0,0.604,0.622,2.0,-6.568,1.0,0.0465,0.498,0.0,0.128,0.195,77.981,192196.0
334,YOSHI (feat. Fabri Fibra) - prod. Strage,1,2019-08-05,"MACHETE, Dani Faiv, tha Supreme",https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx,Italy,493733.0,0.751,0.66,8.0,-6.24,1.0,0.348,0.228,0.0,0.0827,0.634,166.809,211995.0
335,Mayores,1,2017-10-24,"Becky G, Bad Bunny",https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,Bolivia,8160.0,0.743,0.855,5.0,-3.976,0.0,0.0436,0.141,0.0045,0.099,0.871,96.989,202453.0
336,Piilotan mun kyyneleet,1,2021-03-20,Haloo Helsinki!,https://open.spotify.com/track/6nU4btGccMwMywAAl6cNSD,Finland,58211.0,0.641,0.514,7.0,-6.003,1.0,0.0266,0.0166,0.0,0.155,0.196,96.87,268707.0
337,Solo de Mi,1,2018-12-23,Bad Bunny,https://open.spotify.com/track/5YOkA7qd2983FtBQnP8sYx,Dominican Republic,16215.0,0.743,0.73,10.0,-4.314,0.0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968.0
338,Amorfoda,1,2018-03-05,Bad Bunny,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,Ecuador,32824.0,0.742,0.432,9.0,-7.539,0.0,0.0615,0.984,5.78e-05,0.0796,0.252,148.005,155676.0
339,Millionaire,1,2020-06-18,SNIK,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56,Greece,21050.0,0.881,0.783,8.0,-3.07,0.0,0.163,0.382,0.000102,0.101,0.545,102.04,155293.0
