index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
21,Wolves,1,2017-11-29,"Selena Gomez, Marshmello",https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,Singapore,51362.0,0.715,0.802,11.0,-4.647,0.0,0.0394,0.139,0.0,0.177,0.327,124.989,197993.0
22,Melek,1,2021-01-02,Reynmen,https://open.spotify.com/track/6XbuJHhqugUVdJbTdshUEL,Turkey,180195.0,0.569,0.642,11.0,-5.16,1.0,0.055,0.152,0.0,0.236,0.285,180.076,154923.0
23,OK,1,2017-06-22,"Robin Schulz, James Blunt",https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS,Austria,23513.0,0.653,0.81,7.0,-6.032,0.0,0.0558,0.118,0.0,0.126,0.583,121.951,189307.0
24,STAY (with Justin Bieber),1,2021-09-14,The Kid LAROI,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,South Africa,22616.0,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0
25,Patoreakcja,1,2021-04-16,Mata,https://open.spotify.com/track/5RYqeL42n0Ta7OvSuc36ZJ,Poland,261968.0,0.74,0.711,10.0,-6.378,0.0,0.271,0.16,0.0,0.447,0.318,140.926,327367.0
26,bad guy,1,2019-05-27,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,Estonia,5662.0,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0
27,Снова я напиваюсь,1,2020-10-17,SLAVA MARLOW,https://open.spotify.com/track/18t2lAzaHW2bJomYeyzrpy,Ukraine,20530.0,0.893,0.53,8.0,-6.299,1.0,0.0398,0.12,1.46e-06,0.117,0.617,104.037,116999.0
28,Löikö Mörkö sisään? (feat. Antero Mertaranta),1,2019-05-27,DJ ILG,https://open.spotify.com/track/55scBrFpott3xmomX7ldwd,Finland,113501.0,0.692,0.881,11.0,-4.392,0.0,0.163,0.018,0.0,0.41,0.639,140.108,52000.0
29,Mood (feat. iann dior),1,2020-09-20,24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Sweden,177969.0,0.7,0.722,7.0,-3.558,0.0,0.0369,0.221,0.0,0.272,0.756,90.989,140526.0
30,Neymar,1,2018-04-27,"Capital Bra, Ufo361",https://open.spotify.com/track/0d0d2CuQSQDF7Q7vNhwA3i,Germany,605735.0,0.749,0.66,7.0,-6.143,1.0,0.241,0.558,0.0,0.133,0.542,123.96,263647.0
